link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20264152,20264152,Oostende,8400,385000,HOUSE,HOUSE,4,186,,0,null,48,0,0,137,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anzegem/8572/20148737,20148737,Anzegem,8572,315000,HOUSE,HOUSE,3,250,0,0,54,500,4,1,825,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20261626,20261626,Oostende,8400,359000,APARTMENT,APARTMENT,2,89,,0,,null,0,0,,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20264092,20264092,Oostende,8400,250000,APARTMENT,APARTMENT,2,,0,0,7,null,0,0,,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20242778,20242778,Oostende,8400,260000,APARTMENT,APARTMENT,2,80,,0,7,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kaster/8572/20126120,20126120,Kaster,8572,407756,HOUSE,HOUSE,3,171,,0,null,null,4,0,884,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/kaster/8572/11073435,11073435,Kaster,8572,566071,HOUSE,HOUSE,3,187,,0,null,null,4,0,884,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/20270040,20270040,Oostende,8400,795000,HOUSE,HOUSE,3,324,,1,55,425,2,1,1011,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/veurne/8630/20246380,20246380,Veurne,8630,239000,APARTMENT,GROUND_FLOOR,1,76,0,0,10,null,0,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20204181,20204181,Veurne,8630,350000,HOUSE,HOUSE,4,,0,0,,null,0,0,180,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20261518,20261518,Oostende,8400,558000,APARTMENT,APARTMENT,2,135,,0,null,null,0,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20258499,20258499,Oostende,8400,269000,APARTMENT,APARTMENT,2,107,0,0,4,null,0,0,,HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20234011,20234011,Veurne,8630,279000,HOUSE,HOUSE,5,174,,0,null,80,2,0,176,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/veurne/8630/11373267,11373267,Veurne,8630,315000,APARTMENT,APARTMENT,2,,0,0,19,null,0,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20211120,20211120,Veurne,8630,350000,HOUSE,HOUSE,4,,0,0,,null,0,0,180,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20258471,20258471,Oostende,8400,315000,APARTMENT,APARTMENT,2,85,0,0,1,null,0,0,,,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/veurne/8630/20246387,20246387,Veurne,8630,259000,APARTMENT,APARTMENT,2,94,0,0,12,null,0,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/20053649,20053649,Veurne,8630,350000,HOUSE,HOUSE,4,,0,0,,null,0,0,180,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/veurne/8630/11305541,11305541,Veurne,8630,465000,HOUSE,HOUSE,3,243,0,0,,null,2,1,143,INSTALLED,AS_NEW,FOR_SALE
